candidate,arm,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
"('KFP', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,16.0,19.0,24.0,28.0,32.0,37.0,43.0
"('Kicking222', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,29.0,33.0,39.0
"('KieferSkunk', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,8.0,9.0,10.0,14.0,17.0,20.0,23.0,28.0,32.0
"('Kinu', '2007')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,13.0,17.0,20.0,25.0,30.0,37.0,44.0,50.0,55.0,65.0
"('Kizor', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,16.0,19.0,23.0,26.0,30.0,34.0,39.0
"('KrakatoaKatie', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,15.0,18.0,22.0,27.0,32.0,38.0,44.0,50.0,59.0
"('Kralizec!', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,21.0,26.0,31.0,35.0,40.0,47.0
"('Krimpet', '2007')",net,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,7.0,9.0,12.0,14.0,14.0,17.0,19.0
"('Kubigula', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,29.0,33.0,39.0
"('Kurt Shaped Box', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,22.0,26.0,30.0,34.0,40.0
"('Kuru', '2007')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,24.0,30.0,34.0,41.0,49.0,57.0,65.0,77.0
"('Kwsn', '2007')",net,1.0,1.0,2.0,4.0,6.0,5.0,7.0,10.0,10.0,11.0,6.0,9.0,13.0,18.0,25.0,34.0,38.0,42.0
"('LaraLove', '2007')",net,2.0,3.0,5.0,8.0,12.0,16.0,20.0,24.0,28.0,36.0,42.0,54.0,62.0,74.0,88.0,99.0,110.0,115.0
"('Leebo', '2007')",net,1.0,1.0,2.0,4.0,6.0,7.0,9.0,11.0,15.0,18.0,22.0,28.0,33.0,41.0,48.0,56.0,63.0,74.0
"('LessHeard vanU', '2007')",net,-1.0,-1.0,0.0,1.0,2.0,3.0,5.0,6.0,8.0,11.0,14.0,18.0,23.0,27.0,27.0,29.0,34.0,29.0
"('Lid', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,38.0
"('Llama man', '2007')",net,1.0,1.0,2.0,2.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,16.0,19.0,25.0,27.0,33.0,37.0,42.0
"('Lradrama', '2007')",net,-1.0,-1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,1.0,-1.0,2.0,8.0,16.0,26.0,35.0,43.0,58.0
"('Lucasbfr', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,14.0,17.0,22.0,26.0,32.0,38.0,44.0,49.0,58.0
"('Lyrl', '2007')",net,1.0,1.0,2.0,3.0,5.0,6.0,6.0,7.0,9.0,13.0,16.0,20.0,21.0,27.0,27.0,33.0,38.0,43.0
"('Madman', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,20.0,24.0,29.0,33.0,37.0,42.0
"('Magnus animum', '2007')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,24.0,30.0,33.0,40.0,43.0,51.0,51.0,59.0
"('Mallanox', '2007')",net,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,23.0,27.0,32.0,37.0,42.0,50.0
"('Marasmusine', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,21.0,26.0,31.0,35.0,38.0,45.0
"('markles', '2007')",net,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,8.0,11.0,13.0,17.0,18.0,20.0,23.0,26.0
"('Marskell', '2007')",net,1.0,1.0,2.0,3.0,5.0,8.0,9.0,12.0,17.0,22.0,25.0,32.0,40.0,45.0,52.0,60.0,70.0,85.0
"('Masamage', '2007')",net,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,13.0,15.0,19.0,22.0,26.0,29.0,34.0
"('Masem', '2007')",net,1.0,1.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,18.0,21.0,25.0,29.0,35.0,39.0,47.0
"('MastCell', '2007')",net,1.0,1.0,2.0,4.0,5.0,7.0,9.0,10.0,14.0,18.0,21.0,26.0,32.0,38.0,45.0,51.0,58.0,68.0
"('Mattbr', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,15.0,18.0,22.0,27.0,32.0,37.0,42.0,49.0
"('MatthewUND', '2007')",net,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,8.0,10.0,12.0,15.0,18.0,23.0,27.0,31.0,36.0,42.0
"('Mattinbgn', '2007')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,27.0,34.0,40.0,46.0,52.0,61.0
"('MaxSem', '2007')",net,1.0,2.0,2.0,4.0,6.0,8.0,9.0,11.0,15.0,19.0,22.0,28.0,34.0,41.0,49.0,56.0,64.0,75.0
"('Mecu', '2007')",net,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,-3.0,-4.0,-5.0,-9.0,-7.0,-2.0,8.0,16.0,30.0
"('Melburnian', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,6.0,6.0,8.0,9.0,11.0,13.0,18.0,21.0,23.0,26.0,29.0,38.0
"('Meno25', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,22.0,26.0,30.0,34.0,40.0
"('Metropolitan90', '2007')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,14.0,18.0,21.0,24.0,27.0,31.0
"('Michael Greiner', '2007')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,7.0,9.0,10.0,11.0,12.0,13.0,16.0,20.0
"('Michaelas10', '2007')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,25.0,31.0,37.0,45.0,53.0,60.0,66.0,72.0
"('MichaelBillington', '2007')",net,1.0,2.0,3.0,4.0,6.0,8.0,10.0,13.0,17.0,22.0,26.0,33.0,40.0,49.0,56.0,65.0,74.0,88.0
"('Mike Peel', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,14.0,17.0,21.0,25.0,31.0,36.0,42.0,47.0,55.0
"('Mikeblas', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,10.0,13.0,16.0,19.0,23.0,25.0,29.0,32.0
"('MJCdetroit', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,30.0,35.0,40.0,47.0
"('monotonehell', '2007')",net,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,7.0,7.0,6.0,8.0,10.0,14.0,18.0,21.0,21.0,23.0
"('Moonriddengirl', '2007')",net,1.0,2.0,2.0,4.0,6.0,8.0,9.0,11.0,12.0,14.0,16.0,20.0,21.0,29.0,29.0,35.0,38.0,48.0
"('Moreschi', '2007')",net,2.0,4.0,6.0,3.0,6.0,7.0,12.0,16.0,22.0,31.0,40.0,54.0,60.0,73.0,88.0,97.0,108.0,108.0
"('MoRsE', '2007')",net,1.0,2.0,3.0,6.0,8.0,8.0,7.0,7.0,10.0,10.0,10.0,15.0,19.0,22.0,33.0,45.0,55.0,70.0
"('Mr.Z-man', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,14.0,17.0,20.0,25.0,29.0,30.0,34.0,41.0
"('Mtmelendez', '2007')",net,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,14.0,16.0,20.0,24.0,30.0,35.0,40.0,46.0,54.0
"('Mysid', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,15.0,18.0,20.0,23.0,25.0,29.0,34.0,41.0
"('MZMcBride', '2007')",net,1.0,1.0,0.0,1.0,2.0,3.0,5.0,4.0,5.0,7.0,10.0,12.0,14.0,17.0,22.0,24.0,29.0,36.0
"('Nat', '2007')",net,1.0,1.0,2.0,1.0,0.0,2.0,3.0,5.0,8.0,10.0,13.0,18.0,19.0,22.0,24.0,27.0,32.0,35.0
"('Natalie Erin', '2007')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,10.0,14.0,18.0,22.0,27.0,33.0,41.0,48.0,56.0,64.0,75.0
"('Navou', '2007')",net,0.0,0.0,-1.0,-3.0,-4.0,-5.0,-6.0,-5.0,-4.0,-5.0,-2.0,4.0,13.0,23.0,34.0,45.0,54.0,62.0
"('Nehrams2020', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,31.0,36.0,41.0,48.0
"('Neranei', '2007')",net,0.0,-2.0,-3.0,-2.0,-4.0,-5.0,-4.0,-4.0,-4.0,-7.0,-3.0,6.0,16.0,28.0,41.0,53.0,63.0,82.0
"('Newyorkbrad', '2007')",net,2.0,4.0,7.0,11.0,17.0,22.0,28.0,34.0,45.0,56.0,68.0,82.0,99.0,122.0,142.0,165.0,187.0,221.0
"('Nick Dowling', '2007')",net,1.0,1.0,2.0,2.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,19.0,22.0,28.0,32.0,37.0,41.0,49.0
"('Night Gyr', '2007')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,25.0,30.0,32.0,36.0,41.0,49.0
"('Nightscream', '2007')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,8.0,9.0,11.0,14.0,16.0,20.0,22.0,26.0,30.0
"('Nihiltres', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,10.0,12.0,15.0,18.0,22.0,25.0,29.0,34.0
"('Nikki311', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,23.0,27.0,31.0,35.0,41.0
"('Nilfanion', '2007')",net,1.0,2.0,3.0,6.0,9.0,12.0,14.0,17.0,23.0,28.0,34.0,43.0,51.0,63.0,74.0,86.0,98.0,115.0
"('Nmajdan', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,14.0,16.0,21.0,25.0,30.0,36.0,41.0,47.0,55.0
"('NrDg', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,14.0,16.0,21.0,24.0,29.0,33.0,38.0,44.0,52.0
"('Number 57', '2007')",net,1.0,2.0,3.0,5.0,7.0,9.0,12.0,14.0,16.0,17.0,16.0,12.0,15.0,23.0,30.0,31.0,36.0,46.0
"('Nyttend', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,29.0,33.0,37.0
"('Ocatecir', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,19.0,23.0,28.0,32.0,35.0,42.0
"('Od Mishehu', '2007')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,6.0,7.0,8.0,10.0,13.0,15.0,18.0,20.0,23.0,24.0
"('Oldelpaso', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,37.0
"('Oldwindybear', '2007')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,13.0,17.0,20.0,25.0,30.0,36.0,43.0,49.0,56.0,66.0
"('Orangemike', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,20.0,23.0,25.0,29.0,34.0,39.0,48.0
"('Orderinchaos78', '2007')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,13.0,16.0,20.0,25.0,30.0,35.0,41.0,48.0,54.0,64.0
"('Oxymoron83', '2007')",net,1.0,2.0,3.0,5.0,7.0,9.0,12.0,14.0,19.0,23.0,28.0,35.0,42.0,51.0,60.0,70.0,77.0,89.0
"('Pascal.Tesson', '2007')",net,2.0,3.0,5.0,10.0,16.0,21.0,26.0,32.0,38.0,43.0,46.0,45.0,48.0,71.0,95.0,118.0,142.0,177.0
"('Pastordavid', '2007')",net,1.0,1.0,2.0,4.0,5.0,7.0,9.0,11.0,14.0,18.0,20.0,26.0,31.0,38.0,45.0,52.0,55.0,66.0
"('Pats1', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,19.0,20.0,24.0,28.0,31.0,34.0
"('Pax:Vobiscum', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,6.0,7.0,9.0,12.0,15.0,18.0,21.0,23.0,24.0,24.0,23.0
"('PeaceNT', '2007')",net,1.0,1.0,2.0,4.0,5.0,7.0,9.0,11.0,14.0,18.0,21.0,27.0,32.0,39.0,46.0,53.0,60.0,69.0
"('Pedro', '2007')",net,2.0,3.0,5.0,8.0,12.0,16.0,21.0,23.0,26.0,30.0,26.0,28.0,35.0,50.0,65.0,82.0,98.0,122.0
"('Penwhale', '2007')",net,-1.0,0.0,1.0,2.0,5.0,5.0,5.0,7.0,11.0,13.0,16.0,19.0,21.0,26.0,30.0,34.0,37.0,47.0
"('Persian Poet Gal', '2007')",net,2.0,4.0,5.0,9.0,13.0,18.0,22.0,26.0,35.0,44.0,52.0,66.0,79.0,96.0,114.0,131.0,149.0,175.0
"('Philippe', '2007')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,13.0,16.0,19.0,24.0,29.0,36.0,42.0,48.0,55.0,65.0
"('Picaroon9288', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,15.0,18.0,22.0,27.0,32.0,38.0,44.0,50.0,59.0
"('Pigman', '2007')",net,1.0,1.0,2.0,2.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,19.0,22.0,28.0,32.0,38.0,42.0,50.0
"('PrimeHunter', '2007')",net,1.0,1.0,2.0,4.0,5.0,7.0,9.0,11.0,14.0,18.0,21.0,27.0,32.0,39.0,46.0,53.0,60.0,71.0
"('Prolog', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,15.0,18.0,22.0,27.0,31.0,37.0,43.0,49.0,58.0
"('ProveIt', '2007')",net,1.0,1.0,2.0,4.0,5.0,7.0,9.0,11.0,14.0,18.0,21.0,25.0,30.0,34.0,37.0,42.0,48.0,59.0
"('PullToOpen', '2007')",net,1.0,1.0,2.0,4.0,5.0,7.0,9.0,11.0,14.0,18.0,22.0,27.0,32.0,39.0,46.0,53.0,60.0,71.0
"('Qwghlm', '2007')",net,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,15.0,19.0,23.0,27.0,32.0,37.0,40.0,48.0
"('Ragesoss', '2007')",net,-1.0,0.0,2.0,4.0,7.0,10.0,13.0,16.0,22.0,26.0,30.0,37.0,42.0,50.0,58.0,67.0,76.0,86.0
"('Random832', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,11.0,14.0,16.0,20.0,23.0,27.0,29.0,34.0
"('Raymond arritt', '2007')",net,1.0,2.0,3.0,4.0,7.0,9.0,11.0,13.0,18.0,22.0,26.0,33.0,40.0,48.0,57.0,66.0,75.0,88.0
"('Rebelguys2', '2007')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,26.0,31.0
"('Recurring dreams', '2007')",net,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,15.0,19.0,23.0,28.0,33.0,38.0,43.0,51.0
"('RedirectCleanupBot', '2007')",net,0.0,2.0,4.0,7.0,12.0,17.0,21.0,25.0,34.0,43.0,52.0,64.0,74.0,88.0,97.0,112.0,129.0,151.0
"('Reedy Boy', '2007')",net,1.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,21.0,25.0,30.0,34.0,39.0,46.0
"('Resolute', '2007')",net,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,23.0,29.0,34.0,39.0,44.0,52.0
"('Rettetast', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,13.0,15.0,18.0,22.0,27.0,31.0,35.0,42.0
"('Revolving Bugbear', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,16.0,19.0,23.0,27.0,31.0,37.0
"('Riana dzasta', '2007')",net,1.0,3.0,4.0,7.0,10.0,13.0,17.0,20.0,27.0,34.0,40.0,48.0,58.0,72.0,85.0,98.0,112.0,132.0
"('Richardshusr', '2007')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,13.0,16.0,18.0,23.0,28.0,34.0,41.0,48.0,54.0,64.0
"('Rifleman 82', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,21.0,26.0,29.0,33.0,38.0,45.0
"('Rigadoun', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,14.0,17.0,20.0,25.0,29.0,34.0,38.0,45.0
"('Rkitko', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,22.0,26.0,31.0,35.0,41.0
"('Rklawton', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,9.0,12.0,14.0,19.0,22.0,26.0,30.0,35.0,39.0,45.0
"('Rlevse', '2007')",net,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,7.0,10.0,12.0,16.0,21.0,27.0,32.0,38.0,44.0,54.0
"('RockMFR', '2007')",net,1.0,3.0,2.0,2.0,1.0,4.0,4.0,6.0,4.0,4.0,5.0,9.0,14.0,25.0,35.0,45.0,51.0,65.0
"('Ronnotel', '2007')",net,1.0,1.0,1.0,2.0,2.0,3.0,5.0,6.0,7.0,9.0,10.0,11.0,13.0,18.0,19.0,21.0,26.0,32.0
"('Royalbroil', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,31.0,36.0,41.0,48.0
"('Ruhrfisch', '2007')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,27.0,34.0,40.0,46.0,52.0,61.0
"('Ryanpostlethwaite', '2007')",net,1.0,2.0,3.0,4.0,7.0,9.0,11.0,13.0,17.0,21.0,25.0,32.0,38.0,46.0,52.0,58.0,65.0,73.0
"('Ryulong', '2007')",net,2.0,4.0,5.0,9.0,14.0,18.0,21.0,25.0,27.0,31.0,33.0,43.0,44.0,45.0,50.0,58.0,63.0,68.0
"('Salix alba', '2007')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,24.0,30.0,36.0,44.0,52.0,60.0,68.0,80.0
"('Sam Blacketer', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,7.0,7.0,10.0,13.0,17.0,21.0,26.0,32.0,36.0,38.0,44.0,52.0
"('Samulili', '2007')",net,-1.0,0.0,-1.0,1.0,2.0,5.0,7.0,10.0,10.0,13.0,16.0,19.0,26.0,29.0,37.0,42.0,46.0,57.0
"('Sanchom', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,5.0,6.0,8.0,11.0,13.0,17.0,20.0,25.0,28.0,32.0,35.0,38.0
"('Satori Son', '2007')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,27.0,34.0,40.0,46.0,52.0,61.0
"('SatyrTN', '2007')",net,1.0,2.0,2.0,4.0,6.0,8.0,8.0,9.0,12.0,16.0,16.0,19.0,25.0,31.0,39.0,47.0,54.0,66.0
"('Savidan', '2007')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,24.0,30.0,36.0,43.0,51.0,59.0,67.0,77.0
"('SB Johnny', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,14.0,16.0,21.0,25.0,30.0,36.0,41.0,47.0,55.0
"('SchuminWeb', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,13.0,16.0,20.0,23.0,24.0,29.0,32.0,37.0
"('Schutz', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,31.0,36.0,41.0,48.0
"('Scientizzle', '2007')",net,1.0,1.0,1.0,2.0,4.0,6.0,7.0,9.0,12.0,16.0,19.0,24.0,29.0,36.0,43.0,49.0,56.0,66.0
"('Searchme', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,31.0,36.0,41.0,48.0
"('Seattle Skier', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,11.0,14.0,16.0,19.0,22.0,26.0,29.0,34.0
"('SebastianHelm', '2007')",net,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,15.0,19.0,23.0,28.0,33.0,38.0,43.0,51.0
"('Selket', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,12.0,14.0,19.0,23.0,28.0,34.0,39.0,45.0,52.0
"('Seraphimblade', '2007')",net,1.0,2.0,3.0,5.0,7.0,10.0,12.0,14.0,19.0,24.0,28.0,36.0,41.0,50.0,59.0,68.0,78.0,86.0
"('SGGH', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,28.0,30.0,36.0
"('Shadow1', '2007')",net,1.0,2.0,1.0,0.0,2.0,3.0,5.0,7.0,10.0,14.0,16.0,22.0,26.0,32.0,34.0,39.0,46.0,49.0
"('ShadowHalo', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,31.0,36.0,41.0,48.0
"('Shimeru', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,15.0,18.0,22.0,27.0,32.0,38.0,44.0,50.0,59.0
"('Shirahadasha', '2007')",net,-1.0,-1.0,-2.0,-4.0,-1.0,0.0,0.0,0.0,2.0,3.0,6.0,7.0,10.0,16.0,26.0,35.0,45.0,64.0
"('Shyamal', '2007')",net,-1.0,-1.0,-1.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,7.0,12.0,13.0,19.0,26.0,33.0,40.0,46.0
"('SirFozzie', '2007')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,13.0,17.0,20.0,25.0,30.0,37.0,44.0,48.0,45.0,50.0
"('SkierRMH', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,19.0,23.0,24.0,27.0,33.0
"('Slakr', '2007')",net,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,14.0,16.0,20.0,24.0,30.0,35.0,40.0,46.0,54.0
"('Slumgum', '2007')",net,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,11.0,13.0,16.0,21.0,26.0,31.0,36.0,36.0,37.0,31.0
"('Snowolf', '2007')",net,1.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,7.0,6.0,9.0,14.0,18.0,23.0,29.0,34.0,39.0,48.0
"('Soumyasch', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,8.0,9.0,12.0,11.0,15.0,22.0,28.0,32.0,41.0
"('Spartaz', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,13.0,15.0,18.0,22.0,26.0,30.0,36.0
"('Spebi', '2007')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,13.0,17.0,20.0,25.0,28.0,35.0,42.0,47.0,53.0,62.0
"('Spellcast', '2007')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,21.0,26.0,31.0,35.0,40.0,47.0
"('SpuriousQ', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,8.0,9.0,12.0,15.0,18.0,22.0,27.0,33.0,39.0,45.0,51.0,60.0
"('SQL', '2007')",net,-1.0,-1.0,0.0,1.0,-1.0,-2.0,-1.0,0.0,1.0,4.0,6.0,6.0,8.0,8.0,14.0,20.0,23.0,31.0
"('Sr13', '2007')",net,1.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,21.0,25.0,30.0,33.0,38.0,43.0
"('ST47', '2007')",net,2.0,3.0,5.0,6.0,8.0,11.0,13.0,13.0,9.0,6.0,5.0,-1.0,-4.0,5.0,17.0,34.0,48.0,68.0
"('Staecker', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,10.0,13.0,13.0,15.0,20.0,23.0,27.0,32.0,37.0,44.0
"('Stephan Schulz', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,7.0,9.0,9.0,12.0,15.0,18.0,22.0,24.0,27.0,33.0
"('Stephen', '2007')",net,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,15.0,19.0,23.0,26.0,31.0,36.0,40.0,48.0
"('Swatjester', '2007')",net,1.0,2.0,3.0,5.0,7.0,10.0,12.0,14.0,19.0,24.0,29.0,36.0,43.0,53.0,62.0,70.0,80.0,94.0
"('Tabercil', '2007')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,14.0,17.0,20.0,25.0,29.0,34.0,38.0,43.0
"('Tbo 157', '2007')",net,1.0,1.0,1.0,0.0,0.0,-1.0,-2.0,-3.0,-3.0,-1.0,0.0,3.0,5.0,7.0,10.0,12.0,15.0,18.0
"('TeaDrinker', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,14.0,16.0,21.0,25.0,30.0,36.0,41.0,47.0,55.0
"('TerriersFan', '2007')",net,1.0,1.0,2.0,3.0,4.0,4.0,4.0,6.0,7.0,5.0,7.0,8.0,10.0,14.0,16.0,21.0,26.0,32.0
"('The-G-Unit-Boss', '2007')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,7.0,9.0,12.0,15.0,19.0,22.0,26.0,32.0,37.0,42.0,50.0
