candidate,year,arm,tau_0.02,tau_0.05,tau_0.1,tau_0.15,tau_0.2,tau_0.3,tau_0.375,tau_0.5,tau_0.75,tau_1
Penwhale,2007,net,0,2,5,7,11,16,19,25,34,47
Persian Poet Gal,2007,net,4,9,18,26,35,52,66,88,131,175
Philippe,2007,net,1,3,7,10,13,19,24,33,48,65
Picaroon9288,2007,net,1,3,6,9,12,18,22,30,44,59
Pigman,2007,net,1,2,5,8,10,15,19,25,38,50
PrimeHunter,2007,net,1,4,7,11,14,21,27,36,53,71
Prolog,2007,net,1,3,6,9,12,18,22,29,43,58
ProveIt,2007,net,1,4,7,11,14,21,25,32,42,59
PullToOpen,2007,net,1,4,7,11,14,22,27,35,53,71
Qwghlm,2007,net,1,3,5,8,10,15,19,25,37,48
Ragesoss,2007,net,0,4,10,16,22,30,37,45,67,86
Random832,2007,net,1,2,4,5,7,11,14,18,27,34
Raymond arritt,2007,net,2,4,9,13,18,26,33,44,66,88
Rebelguys2,2007,net,1,2,3,5,7,10,12,16,25,31
Recurring dreams,2007,net,1,3,5,8,10,15,19,26,38,51
RedirectCleanupBot,2007,net,2,7,17,25,34,52,64,81,112,151
Reedy Boy,2007,net,1,2,5,7,9,14,17,23,34,46
Resolute,2007,net,1,3,5,8,10,16,20,26,39,52
Rettetast,2007,net,1,2,4,7,9,13,15,20,31,42
Revolving Bugbear,2007,net,1,2,4,6,7,11,14,18,27,37
Riana dzasta,2007,net,3,7,13,20,27,40,48,65,98,132
Richardshusr,2007,net,1,3,7,10,13,18,23,31,48,64
Rifleman 82,2007,net,1,2,5,7,9,14,18,24,33,45
Rigadoun,2007,net,1,2,4,7,9,14,17,22,34,45
Rkitko,2007,net,1,2,4,6,8,12,15,20,31,41
Rklawton,2007,net,1,3,6,8,9,14,19,24,35,45
Rlevse,2007,net,1,2,1,5,7,12,16,24,38,54
RockMFR,2007,net,3,2,4,6,4,5,9,21,45,65
Ronnotel,2007,net,1,2,3,6,7,10,11,15,21,32
Royalbroil,2007,net,1,2,5,7,10,14,18,24,36,48
Ruhrfisch,2007,net,1,3,6,9,12,18,23,30,46,61
Ryanpostlethwaite,2007,net,2,4,9,13,17,25,32,43,58,73
Ryulong,2007,net,4,9,18,25,27,33,43,47,58,68
Salix alba,2007,net,2,4,8,12,16,24,30,40,60,80
Sam Blacketer,2007,net,1,2,5,7,10,17,21,28,38,52
Samulili,2007,net,0,1,5,10,10,16,19,26,42,57
Sanchom,2007,net,1,2,5,6,8,13,17,23,32,38
Satori Son,2007,net,1,3,6,9,12,18,23,30,46,61
SatyrTN,2007,net,2,4,8,9,12,16,19,27,47,66
Savidan,2007,net,2,4,8,12,16,24,30,38,59,77
SB Johnny,2007,net,1,3,6,8,11,16,21,28,41,55
SchuminWeb,2007,net,1,2,5,7,10,13,16,20,29,37
Schutz,2007,net,1,2,5,7,10,14,18,24,36,48
Scientizzle,2007,net,1,2,6,9,12,19,24,33,49,66
Searchme,2007,net,1,2,5,7,10,14,18,24,36,48
Seattle Skier,2007,net,1,2,4,5,7,11,14,17,26,34
SebastianHelm,2007,net,1,3,5,8,10,15,19,26,38,51
Selket,2007,net,1,3,6,8,11,14,19,26,39,52
Seraphimblade,2007,net,2,5,10,14,19,28,36,46,68,86
SGGH,2007,net,1,2,4,6,8,12,15,20,28,36
Shadow1,2007,net,2,0,3,7,10,16,22,28,39,49
ShadowHalo,2007,net,1,2,5,7,10,14,18,24,36,48
Shimeru,2007,net,1,3,6,9,12,18,22,30,44,59
Shirahadasha,2007,net,-1,-4,0,0,2,6,7,13,35,64
Shyamal,2007,net,-1,0,3,2,2,7,12,16,33,46
SirFozzie,2007,net,1,3,7,10,13,20,25,34,48,50
SkierRMH,2007,net,1,2,4,6,8,11,14,19,24,33
Slakr,2007,net,1,3,5,8,11,16,20,27,40,54
Slumgum,2007,net,1,3,5,8,11,16,21,30,36,31
Snowolf,2007,net,1,3,3,4,7,9,14,19,34,48
Soumyasch,2007,net,1,2,4,4,5,9,12,14,28,41
Spartaz,2007,net,1,2,4,6,8,12,13,17,26,36
Spebi,2007,net,1,3,7,10,13,20,25,32,47,62
Spellcast,2007,net,1,2,5,7,9,14,18,24,35,47
SpuriousQ,2007,net,1,3,6,9,12,18,22,30,45,60
SQL,2007,net,-1,1,-2,0,1,6,6,7,20,31
Sr13,2007,net,1,2,5,7,9,14,17,23,33,43
ST47,2007,net,3,6,11,13,9,5,-1,-2,34,68
Staecker,2007,net,1,3,6,9,10,13,15,22,32,44
Stephan Schulz,2007,net,1,2,4,5,7,9,12,16,24,33
Stephen,2007,net,1,3,5,8,10,15,19,24,36,48
Swatjester,2007,net,2,5,10,14,19,29,36,48,70,94
Tabercil,2007,net,1,2,4,7,9,14,17,22,34,43
Tbo 157,2007,net,1,0,-1,-3,-3,0,3,7,12,18
TeaDrinker,2007,net,1,3,6,8,11,16,21,28,41,55
TerriersFan,2007,net,1,3,4,6,7,7,8,12,21,32
The-G-Unit-Boss,2007,net,1,3,6,7,9,15,19,24,37,50
The Placebo Effect,2007,net,-1,-3,-4,-6,-8,-8,-4,2,12,23
The Rambling Man,2007,net,3,6,13,19,25,38,48,64,95,127
The Random Editor,2007,net,2,5,10,15,19,29,36,48,73,92
the undertow,2007,net,1,2,5,8,10,15,19,25,36,48
Thespian,2007,net,1,1,3,6,9,12,16,23,32,44
Tikiwont,2007,net,1,2,3,5,6,9,10,14,21,29
TimVickers,2007,net,2,4,8,12,16,24,30,40,59,76
Tony Fox,2007,net,1,2,4,7,9,13,16,22,33,44
Tra,2007,net,1,2,4,7,9,14,17,22,34,45
Trebor Rowntree,2007,net,1,3,6,9,12,18,22,30,39,52
Trusilver,2007,net,2,5,10,14,17,27,32,43,65,87
TSO1D,2007,net,1,3,5,8,11,16,20,27,38,50
TwinsMetsFan,2007,net,1,3,6,9,11,16,20,27,40,49
Useight,2007,net,3,4,6,13,14,14,18,19,50,90
Vassyana,2007,net,2,4,9,14,17,26,33,42,52,63
VegaDark,2007,net,1,2,5,8,10,15,19,25,38,50
Veinor,2007,net,1,3,5,8,11,14,18,25,38,52
Versageek,2007,net,2,4,9,14,18,27,34,45,68,90
VirtualSteve,2007,net,2,4,8,12,16,24,30,40,59,77
Visviva,2007,net,1,3,6,10,13,20,24,30,47,63
Wafulz,2007,net,1,2,4,6,8,12,15,20,29,39
Waggers,2007,net,1,2,4,5,7,11,14,17,26,35
Walton monarchist89,2007,net,2,4,5,8,12,18,23,30,50,56
Walton One,2007,net,3,6,15,20,27,42,43,58,72,89
Wassupwestcoast,2007,net,1,1,-2,1,2,4,2,7,21,29
William Pietri,2007,net,1,4,7,11,14,21,26,32,46,61
WilyD,2007,net,1,2,4,7,7,11,14,18,28,35
Wimt,2007,net,2,4,8,12,16,24,30,40,58,77
Wizardman,2007,net,1,3,4,8,11,16,20,28,40,54
WJBscribe,2007,net,3,7,13,20,26,39,49,66,98,129
WODUP,2007,net,1,3,4,7,10,17,22,30,47,63
Woodym555,2007,net,1,3,6,9,12,17,22,29,44,58
Wrp103,2007,net,1,2,3,1,2,5,8,15,28,36
Xdamr,2007,net,1,2,5,7,9,14,18,24,35,47
xDanielx,2007,net,1,3,6,7,9,13,14,19,26,42
Xiner,2007,net,-1,2,5,8,11,16,21,28,42,58
Xnuala,2007,net,1,2,4,6,8,12,15,20,30,36
Yamamoto Ichiro,2007,net,0,2,6,9,10,16,19,24,40,46
Yandman,2007,net,1,3,7,10,14,21,26,30,37,52
Yannismarou,2007,net,2,6,11,17,23,34,42,56,85,111
Yonatan,2007,net,1,3,5,8,11,16,20,26,40,53
Zzuuzz,2007,net,1,2,4,6,8,13,16,21,31,39
AgÃ¼eybanÃ¡,2007,net,2,4,8,10,13,6,6,3,-2,-9
AKMask,2007,net,2,5,10,15,21,31,37,38,51,45
Aktron,2007,net,1,1,3,4,6,5,7,9,5,4
Alex43223,2007,net,-1,0,1,4,7,10,14,12,16,12
Amarkov,2007,net,2,4,9,9,5,2,1,0,-6,-18
Anthony cfc,2007,net,1,1,2,2,3,6,7,10,5,2
Anynobody,2007,net,-1,0,1,2,0,0,1,-2,-7,-13
Arkyan,2007,net,1,2,2,2,2,3,5,10,12,13
Badlydrawnjeff,2007,net,1,2,9,7,13,18,20,22,29,28
Barneca,2007,net,1,2,5,7,9,12,11,11,12,18
Ben,2007,net,2,5,10,9,10,11,11,9,18,22
Betacommand,2007,net,1,0,6,6,5,9,7,8,-6,-20
Billy,2007,net,-1,-2,-4,-5,-5,-8,-11,-11,-12,-20
Blueboy96,2007,net,0,1,3,3,1,2,5,2,11,7
Booksworm,2007,net,1,2,5,7,10,14,18,18,8,6
Booyabazooka,2007,net,-1,-1,-3,-3,-3,0,0,5,9,13
Boricuaeddie,2007,net,1,2,4,5,6,10,11,11,11,9
BostonMA,2007,net,3,7,8,12,16,21,30,41,45,46
Budgiekiller,2007,net,2,3,6,12,14,16,24,32,43,41
Bushcarrot,2007,net,-1,-2,-4,-6,-6,-9,-10,-13,-22,-29
Captain panda,2007,net,1,1,0,6,7,3,3,14,37,31
Captmondo,2007,net,0,1,3,5,6,4,5,8,5,14
Chacor,2007,net,2,3,8,14,17,19,16,16,11,3
Chrishomingtang,2007,net,1,1,3,4,4,6,6,3,-1,-7
Clamster5,2007,net,1,1,2,3,3,3,4,6,6,5
Clawson,2007,net,1,3,5,8,9,14,18,24,22,18
Cobi,2007,net,0,7,10,13,22,37,49,61,87,95
Cometstyles,2007,net,0,1,-3,0,6,16,24,38,32,27
Daniel.Cardenas,2007,net,0,0,-1,-2,-4,-5,-5,-7,-4,-7
Danielfolsom,2007,net,1,2,5,7,5,3,3,3,3,6
Dantheman531,2007,net,1,1,4,7,6,11,14,12,14,22
Dark Dragon Flame,2007,net,1,0,-2,-2,-3,-2,-3,-1,0,3
David.Mestel,2007,net,0,0,-1,0,-1,-4,-4,-3,4,8
Davnel03,2007,net,-1,-2,-3,-5,-6,-10,-12,-14,-20,-28
Dev920,2007,net,4,7,15,24,24,18,18,20,22,30
Diez2,2007,net,1,1,3,4,5,10,12,12,10,13
Dihydrogen Monoxide,2007,net,3,6,13,13,13,12,12,14,8,-3
Dream out loud,2007,net,1,1,1,2,4,5,4,6,12,7
Drmaik,2007,net,-1,-1,-3,-4,-5,-5,-5,-6,-7,-7
Errabee,2007,net,2,5,10,14,17,25,33,34,45,39
Eukesh,2007,net,-1,1,1,1,0,-1,2,5,12,14
Everyking,2007,net,2,-1,-4,-3,-7,-8,-12,-18,-17,-20
Fan-1967,2007,net,1,3,7,6,8,8,10,10,3,-5
Flameviper,2007,net,1,1,0,-3,-5,-8,-10,-13,-16,-28
Froth,2007,net,-2,-2,2,-2,1,-3,-1,4,12,22
Fyre2387,2007,net,1,1,3,4,6,6,6,6,7,3
Gay Cdn,2007,net,0,-1,3,2,5,7,12,11,11,9
Gracenotes,2007,net,6,12,26,39,51,60,68,81,100,129
Grubber,2007,net,-1,0,-2,-3,-4,-6,-4,-6,-5,-3
Gurch,2007,net,2,3,7,12,17,26,33,35,36,39
Hdt83,2007,net,-3,-6,-10,-12,-13,-9,-8,-10,5,16
Hersfold,2007,net,1,2,2,4,2,9,8,16,15,13
HisSpaceResearch,2007,net,-1,-1,0,1,1,-2,-1,-4,-9,-12
Ibaranoff24,2007,net,1,0,-3,-3,-2,-6,-7,-8,-7,0
Imdanumber1,2007,net,1,1,2,2,1,3,4,6,1,0
IronDuke,2007,net,1,2,2,4,5,2,1,5,3,2
Ishikawa Minoru,2007,net,0,-1,0,1,2,-1,-2,0,0,4
IvoShandor,2007,net,2,5,1,2,3,8,12,15,23,31
Jakew,2007,net,1,-1,-1,-2,-2,-7,-5,0,9,7
Joebengo,2007,net,1,2,1,2,3,0,1,3,-1,-5
Jor,2007,net,1,1,3,2,1,4,2,1,2,2
JP06035,2007,net,1,2,4,3,2,2,0,0,-2,-7
Jrockley,2007,net,1,2,2,1,0,-2,-3,-4,-6,-10
JuJube,2007,net,1,3,7,10,14,19,25,33,34,29
Karrmann,2007,net,-1,0,3,3,3,4,3,4,3,-4
KyraVixen,2007,net,1,1,1,4,7,13,17,20,27,25
Kyriakos,2007,net,1,-1,2,5,9,11,11,11,15,28
Kzrulzuall,2007,net,1,2,2,3,5,5,3,3,4,0
Lankybugger,2007,net,1,0,1,2,1,2,1,2,-2,-1
Lincalinca,2007,net,1,2,3,3,6,7,8,13,14,10
Loom91,2007,net,0,0,0,0,0,3,2,1,5,0
Maelwys,2007,net,1,1,4,6,8,12,12,16,22,25
Magioladitis,2007,net,1,2,4,6,8,9,6,8,4,5
Majorly,2007,net,4,7,15,25,34,51,62,78,108,115
Malleus Fatuarum,2007,net,1,2,3,3,5,3,3,0,5,8
MatthewFenton,2007,net,1,0,-1,-3,-3,-2,-4,-6,-12,-19
Max Naylor,2007,net,0,0,0,-1,-3,-7,-6,-12,-6,4
Melsaran,2007,net,1,2,5,5,4,7,7,10,10,4
Member,2007,net,-1,-1,1,1,2,2,1,3,2,-5
MER-C,2007,net,1,4,10,15,18,20,25,30,33,40
Mercury,2007,net,-1,-2,-5,-8,-10,-8,-12,-14,-16,-17
Michaelbusch,2007,net,1,3,6,9,11,15,17,14,10,2
N,2007,net,1,1,0,-2,-3,-4,-5,-6,-10,-11
Natl1,2007,net,0,-1,-1,0,0,-4,-1,-1,1,-3
NHRHS2010,2007,net,1,0,2,2,1,-1,-1,-4,-3,-5
Nima Baghaei,2007,net,-1,-2,-5,-8,-9,-11,-11,-13,-19,-28
OhanaUnited,2007,net,2,4,8,9,13,21,26,31,31,27
Otto4711,2007,net,1,1,0,-2,-3,-4,-5,-7,-14,-19
Ozgod,2007,net,1,1,1,2,4,5,7,9,14,10
P.B. Pilhet,2007,net,-1,-1,-1,-3,-3,-2,-2,-3,-5,-8
PaxEquilibrium,2007,net,1,3,6,5,6,8,9,7,4,8
Peregrine Fisher,2007,net,1,2,3,5,4,4,2,0,-1,-3
PrestonH,2007,net,1,0,0,-2,0,4,5,5,7,6
ProtectionBot,2007,net,0,5,15,25,33,46,61,76,115,143
Pupster21,2007,net,0,-1,0,0,-2,-4,-8,-9,-20,-29
R,2007,net,3,8,16,25,28,32,38,45,57,65
Reaper X,2007,net,0,1,0,1,1,1,1,1,3,2
Remember the dot,2007,net,2,4,7,11,15,22,26,28,28,37
Retiono Virginian,2007,net,1,1,0,-1,-3,-5,-6,-8,-10,-20
RevRagnarok,2007,net,0,0,1,5,6,8,7,9,13,20
Rudget,2007,net,1,3,5,8,11,14,18,21,24,22
RyanLupin,2007,net,1,2,0,1,-1,-4,-4,-5,-5,-9
Scharks,2007,net,-1,-1,-1,0,-1,-2,0,1,4,5
Scott5114,2007,net,1,2,1,3,5,2,4,6,5,4
Serpent's Choice,2007,net,-1,0,3,3,6,8,9,9,14,18
shoeofdeath,2007,net,1,2,1,1,-1,-2,-2,0,7,5
Simply south,2007,net,1,2,5,7,8,12,15,14,21,16
Siva1979,2007,net,3,7,12,17,21,22,20,14,13,4
SJP,2007,net,1,2,1,3,5,6,7,8,3,-4
Skully Collins,2007,net,-1,-2,-4,-4,-3,-4,-3,-2,-2,-4
Slgrandson,2007,net,1,2,5,8,11,15,18,22,29,23
Smcafirst,2007,net,-1,-2,-5,-7,-7,-10,-12,-12,-17,-19
SMcCandlish,2007,net,1,2,5,7,10,14,18,22,21,11
Soman,2007,net,1,1,3,6,5,0,-3,-5,-14,-9
Somitho,2007,net,1,0,0,-1,-3,-5,-6,-6,-11,-13
Sony-youth,2007,net,1,3,4,2,2,1,5,5,0,7
SorryGuy,2007,net,0,0,2,5,5,6,4,7,14,15
Spartan-James,2007,net,-1,-2,-4,-5,-7,-7,-10,-8,-6,-10
Stormtracker94,2007,net,-1,-1,-1,-1,-2,-5,-6,-9,-14,-17
Stwalkerster,2007,net,1,1,4,3,1,-2,-1,-2,-2,6
SunStar Net,2007,net,1,0,0,-2,-3,-4,-2,-5,-10,-17
Superbfc,2007,net,-1,-3,-5,-7,-7,-9,-8,-11,-15,-18
T-dot,2007,net,1,2,4,7,9,8,5,5,6,11
Tanner-Christopher,2007,net,-1,-2,-3,-2,0,1,-2,-1,6,8
Tarret,2007,net,0,-1,0,-2,-1,-2,-2,-4,-4,-6
TeckWiz,2007,net,-1,-1,-5,-10,-11,-5,6,17,22,20
TempDeletionBot,2007,net,1,4,7,10,11,14,16,19,10,3
TenPoundHammer,2007,net,1,4,4,3,6,6,10,24,32,23
The Haunted Angel,2007,net,1,3,6,9,12,19,23,30,20,15
The Transhumanist,2007,net,4,7,13,16,14,8,8,14,23,24
TheFearow,2007,net,-1,-1,1,0,1,0,0,3,10,7
TheIslander,2007,net,1,3,4,5,8,6,4,4,4,11
Thumperward,2007,net,-1,0,3,6,8,7,9,7,8,2
Tiptoety,2007,net,-1,0,-3,-6,-8,-4,-4,-5,-10,-16
tjstrf,2007,net,1,3,6,9,12,17,22,29,44,44
TomasBat,2007,net,1,2,4,6,5,5,2,1,-4,-10
TomStar81,2007,net,2,2,0,2,3,6,9,12,13,20
TonyTheTiger,2007,net,3,6,8,3,1,-5,-14,-14,-2,-18
VanTucky,2007,net,3,7,13,20,26,39,49,60,57,41
Veesicle,2007,net,0,0,1,0,0,-1,-1,3,2,4
Vishwin60,2007,net,1,1,3,4,5,6,6,8,14,7
Wandalstouring,2007,net,0,0,-2,-2,-1,-2,-1,-1,0,2
Wantok,2007,net,1,1,0,-2,-3,-3,-4,-4,-6,-3
Wenli,2007,net,1,2,4,6,8,7,9,8,5,4
Werdna,2007,net,0,8,18,30,41,60,73,85,88,89
Wikidudeman,2007,net,2,4,8,11,15,23,27,25,29,32
Wikihermit,2007,net,1,0,-1,-5,-8,-1,3,8,11,2
WikipedianProlific,2007,net,2,5,10,14,19,16,19,24,36,43
Wildnox,2007,net,1,0,2,1,0,1,0,1,-3,-7
Wildthing61476,2007,net,0,0,-1,-1,-1,-3,-2,-4,-5,-4
Wisdom89,2007,net,0,0,-1,0,2,2,1,0,-3,-1
Wizardry Dragon,2007,net,1,2,5,7,10,11,12,14,5,-2
Yao Ziyuan,2007,net,1,1,4,8,12,19,24,29,35,29
Yonidebest,2007,net,-1,-1,-2,-3,-3,-6,-7,-6,-1,-3
Yuser31415,2007,net,1,0,-2,-3,-5,-7,-6,-8,-15,-22
(aeropagitica),2006,net,1,3,3,2,1,2,6,10,17,26
Aaron Brenneman,2006,net,1,3,10,14,19,33,44,54,63,76
Adambiswanger1,2006,net,1,4,7,9,13,20,24,31,49,65
Admrboltz,2006,net,1,1,3,4,5,8,8,12,18,23
Aecis,2006,net,1,2,5,7,7,12,16,20,29,40
Agathoclea,2006,net,1,3,7,7,10,17,22,30,43,58
Aguerriero,2006,net,1,3,5,8,11,14,18,25,36,48
Aksi great,2006,net,1,4,7,10,14,21,26,33,52,70
Aldux,2006,net,1,3,5,7,9,11,12,19,32,45
Alex9891,2006,net,1,3,7,10,14,19,19,24,35,46
Alex Bakharev,2006,net,0,6,11,13,16,30,37,43,74,115
Alphachimp,2006,net,3,7,14,21,28,39,50,67,101,132
Amalas,2006,net,1,2,5,6,8,12,16,22,34,44
Ambush Commander,2006,net,1,3,6,9,12,18,22,30,42,57
AmiDaniel,2006,net,3,9,17,26,34,51,63,84,124,165
Andrew Levine,2006,net,-1,1,3,8,12,15,16,24,35,48
AndyZ,2006,net,1,3,7,10,13,20,25,33,50,66
AnonEMouse,2006,net,1,3,7,10,14,21,26,34,52,63
Anonymous editor,2006,net,2,5,9,14,19,28,35,47,68,85
Art LaPella,2006,net,1,3,5,6,9,15,19,24,26,36
Arthur Rubin,2006,net,2,5,10,15,20,30,37,50,70,96
Ashibaka,2006,net,1,4,7,11,14,21,27,36,53,69
Asterion,2006,net,2,4,8,12,16,23,29,39,57,77
Atlant,2006,net,1,2,1,3,4,8,12,16,28,40
Aude,2006,net,1,3,7,10,14,21,26,34,51,68
Avraham,2006,net,1,3,5,8,11,16,21,29,43,56
AYArktos,2006,net,1,3,6,10,13,20,24,32,49,65
Babajobu,2006,net,1,4,7,11,14,21,27,35,52,67
Banes,2006,net,1,4,5,5,8,15,21,28,41,56
Banno,2006,net,1,1,1,1,3,5,7,11,18,21
Bastique,2006,net,2,5,9,12,15,21,26,38,57,71
Bbatsell,2006,net,1,3,5,8,11,16,20,26,39,50
Ben W Bell,2006,net,1,3,5,8,11,15,19,26,36,49
Betacommand,2006,net,2,4,8,10,14,21,27,37,52,70
Blnguyen,2006,net,3,8,16,24,32,49,61,79,120,159
Bobet,2006,net,1,3,6,10,13,19,24,32,48,64
Bobo192,2006,net,1,2,2,3,4,6,8,13,20,28
Bookofjude,2006,net,3,7,13,20,27,40,50,67,100,134
Borisblue,2006,net,-1,0,1,4,6,11,15,20,33,45
BrownHairedGirl,2006,net,2,4,6,7,8,10,14,20,38,51
Buchanan-Hermit,2006,net,2,4,8,12,16,22,28,38,43,50
Bucketsofg,2006,net,2,5,10,16,21,30,38,51,77,101
Cactus.man,2006,net,2,4,8,11,15,23,28,37,56,73
Can't sleep, clown will eat me,2006,net,9,13,26,41,50,59,73,124,221,309
Canadian-Bacon,2006,net,2,5,10,14,19,29,36,48,73,95
CanadianCaesar,2006,net,1,1,5,8,9,16,20,28,39,55
Cantthinkofagoodname,2006,net,1,3,5,8,10,16,20,27,42,56
Carnildo,2006,net,6,4,7,9,6,9,13,18,36,47
CBDunkerson,2006,net,2,6,11,16,22,33,41,55,82,110
Cbrown1023,2006,net,1,2,5,7,10,15,18,24,35,47
Centrx,2006,net,1,3,6,7,8,12,16,21,32,43
Ceyockey,2006,net,1,2,5,7,10,15,18,24,35,47
Chairboy,2006,net,2,4,8,12,15,23,29,38,58,77
Chaser,2006,net,0,2,4,7,9,15,19,25,38,45
Chick Bowen,2006,net,1,3,6,9,12,17,22,29,44,58
Cholmes75,2006,net,2,3,5,10,12,18,14,16,15,28
ChrisGriswold,2006,net,1,3,6,9,12,19,21,29,44,59
Christopher Sundita,2006,net,2,4,2,7,6,11,11,18,37,49
Circeus,2006,net,1,3,6,9,13,19,24,32,47,63
Cohesion,2006,net,1,2,4,6,7,11,14,18,28,37
Conscious,2006,net,1,4,7,11,15,22,27,36,55,73
Consumed Crustacean,2006,net,2,4,8,11,10,13,19,28,35,45
Coredesat,2006,net,2,4,8,11,15,22,28,38,56,74
Cowman109,2006,net,2,5,10,13,12,10,14,26,48,68
Crazycomputers,2006,net,1,3,6,10,12,18,18,19,31,41
Crzrussian,2006,net,6,16,30,46,60,88,111,143,200,243
Cuivienen,2006,net,2,4,2,6,11,18,24,33,49,60
Cyde,2006,net,3,7,10,13,18,27,32,43,54,76
DaGizza,2006,net,2,4,9,14,18,27,34,43,64,86
DakotaKahn,2006,net,2,4,8,12,16,25,31,41,62,82
Dalbury,2006,net,1,4,7,11,14,22,27,36,52,70
Daveydweeb,2006,net,1,3,7,10,14,21,26,34,51,68
David Kernow,2006,net,1,2,4,6,9,13,16,22,31,42
Davidruben,2006,net,1,3,6,7,8,11,15,19,27,37
Deckiller,2006,net,1,4,7,11,14,21,27,36,53,68
Deepujoseph,2006,net,2,4,8,12,15,23,29,38,56,73
Deiz,2006,net,1,4,7,10,13,18,23,31,40,49
Deskana,2006,net,1,3,6,9,12,17,21,29,40,52
Deville,2006,net,1,4,7,11,15,22,27,36,53,71
Dijxtra,2006,net,1,3,7,8,12,17,22,30,46,61
Dina,2006,net,2,5,10,15,20,30,37,49,70,95
Doug Bell,2006,net,2,4,9,12,15,22,28,39,59,72
Dsmdgold,2006,net,1,1,2,3,5,10,11,16,19,24
Duja,2006,net,2,4,9,13,18,27,33,44,67,89
Durova,2006,net,2,4,8,12,16,24,30,40,61,80
Dustimagic,2006,net,1,3,4,6,5,8,11,18,29,40
DVD R W,2006,net,1,4,7,11,14,22,27,36,54,72
Eagle 101,2006,net,1,3,7,10,13,20,25,33,47,59
Edgar181,2006,net,1,4,7,11,15,22,27,36,55,73
Elf-friend,2006,net,1,3,5,8,10,16,20,26,37,50
Encephalon,2006,net,2,4,10,16,21,33,42,56,86,115
ERcheck,2006,net,1,3,6,10,13,20,24,32,49,65
ESkog,2006,net,2,4,9,13,18,26,33,44,66,86
Essexmutant,2006,net,1,2,3,4,6,9,11,15,17,25
EurekaLott,2006,net,1,2,2,3,5,6,7,10,18,22
EVula,2006,net,1,3,6,9,12,18,23,30,46,61
EWS23,2006,net,2,4,9,13,18,26,33,44,66,88
Extraordinary Machine,2006,net,1,4,7,10,14,21,26,35,50,68
Ezeu,2006,net,1,3,6,8,8,8,6,8,15,29
Fang Aili,2006,net,2,5,10,14,19,28,35,46,62,85
Femto,2006,net,1,1,-1,0,2,0,0,2,10,14
Fir0002,2006,net,1,3,5,6,10,17,22,30,46,60
Firsfron,2006,net,1,3,6,9,12,18,22,30,45,59
FloNight,2006,net,2,5,9,14,18,28,34,46,67,82
Flowerparty,2006,net,1,3,6,9,12,18,23,30,45,60
FrancisTyers,2006,net,1,3,6,9,12,17,22,29,44,58
Fred chessplayer,2006,net,1,3,5,6,9,13,13,20,33,43
Fropuff,2006,net,1,2,3,5,7,10,12,16,23,29
Future Perfect at Sunrise,2006,net,1,4,7,11,15,22,27,36,55,73
Ganeshk,2006,net,2,4,8,13,17,26,32,42,64,82
Gator1,2006,net,2,5,10,16,21,31,39,52,78,103
GeeJo,2006,net,1,2,4,7,9,14,17,22,34,45
Gflores,2006,net,2,4,9,13,18,27,33,44,67,89
GIen,2006,net,2,5,9,14,18,25,32,44,62,83
Ginkgo100,2006,net,1,2,5,7,9,12,15,21,31,43
Gnangarra,2006,net,1,3,6,9,11,18,23,32,47,64
Gogo Dodo,2006,net,1,4,7,10,13,20,21,29,44,61
Goldom,2006,net,1,3,5,8,11,16,20,27,35,49
Grandmasterka,2006,net,2,5,10,16,21,32,39,52,77,101
GRBerry,2006,net,2,4,9,13,17,26,33,44,63,85
Grendelkhan,2006,net,1,3,6,10,13,20,24,32,49,63
Gryffindor,2006,net,2,5,9,14,16,26,32,42,63,85
Guanaco,2006,net,2,4,8,12,14,19,21,30,36,51
Guinnog,2006,net,2,4,8,10,13,17,19,21,25,43
Gurch,2006,net,1,3,7,10,12,19,23,32,47,62
Gwernol,2006,net,2,4,9,13,17,26,32,43,64,86
Haukurth,2006,net,1,3,6,7,10,17,21,29,41,53
Heah,2006,net,1,3,5,8,8,10,14,19,25,30
HereToHelp,2006,net,1,4,7,11,15,20,25,34,53,70
Herostratus,2006,net,3,6,9,5,4,12,20,30,49,69
HighInBC,2006,net,-2,-4,-3,-5,-4,0,-2,8,-8,-24
Hoary,2006,net,1,3,6,10,13,19,24,32,48,64
Hoopydink,2006,net,2,5,10,14,19,28,36,48,69,91
Humus sapiens,2006,net,2,6,12,17,23,35,44,58,86,111
Husnock,2006,net,1,2,4,7,9,13,16,22,32,39
Husond,2006,net,2,4,8,13,17,25,32,42,62,82
Ian13,2006,net,0,-2,-2,-2,-3,5,10,19,23,31
IanManka,2006,net,1,3,6,8,11,16,19,26,37,45
Idont havaname,2006,net,1,3,6,9,12,18,23,30,44,55
Ilmari Karonen,2006,net,1,2,2,4,5,9,11,14,22,30
InShaneee,2006,net,1,2,5,7,9,14,17,23,33,44
Interiot,2006,net,2,5,11,16,21,32,40,54,80,107
Irongargoyle,2006,net,1,2,5,7,10,14,18,24,36,47
Ish ishwar,2006,net,1,1,1,4,3,5,7,12,20,32
J.smith,2006,net,1,2,5,7,10,15,18,24,37,48
J Di,2006,net,1,3,5,8,11,16,20,26,40,51
Jaranda,2006,net,4,11,20,24,30,37,37,57,95,107
JDoorjam,2006,net,1,3,5,7,10,15,19,26,40,52
Jedi6,2006,net,1,1,3,5,7,10,10,17,30,45
JLaTondre,2006,net,1,3,6,9,12,18,22,26,41,56
